attribute	value
dataStatement	This March 2026 rainfall map of Hawaii county is a high spatial resolution (~250m) gridded prediction of cumulative rainfall in millimeters from 01 Mar 2026 to 31 Mar 2026. This was produced using a climate-aided modified automatic kriging interpolation of a log transformed sum of a monthly rainfall anomaly ratio (observed mm / mean monthly mm) and a constant of 1 (k). This kriging process used 45 unique station locations within Hawaii county and their March 2026 recorded and/or estimated rainfall (mm) totals. A leave one out cross validation (LOOCV) of the station data used in this map produced an R-squared of: 0.298 ,meaning this March 2026 Hawaii county monthly rainfall (mm) map is a low quality estimate of monthly rainfall, and should be used with dilligence. All maps are subject to change as new data becomes available or unknown errors are corrected in reoccurring versions. Errors in rainfall estimates do vary over space meaning any gridded rainfall value, even on higher quality maps, could still produce incorrect estimates. Check standard error (SE) maps to better understand spatial estimates of prediction error
keywords	Hawaii Island, Hawaii, Rainfall prediction, Monthly precipitation, Rainfall, Climate, Spatial interpolation, Kriging
county	bi
dataYearMon	2026-03
dataStartDate	2026-03-01
dataEndDate	2026-03-31
dateProduced	2026-04-06
dataVersionType	preliminary
RFstationFile	2026_03_bi_rf_krig_input.csv
RFmmGridFile	2026_03_bi_rf_mm.tif
RFmmSEgridFile	2026_03_bi_rf_mm_SE.tif
RFanomGridFile	2026_03_bi_anom.tif
RFanomSEgridFile	2026_03_bi_anom_SE.tif
GeoCoordUnits	Decimal Degrees
GeoCoordRefSystem	+proj=longlat +datum=WGS84 +no_defs
Xresolution	0.00225
Yresolution	0.00225
ExtentXmin	-156.243
ExtentXmax	-154.668
ExtentYmin	18.849
ExtentYmax	20.334
vario	vari_free_all
krigeRFmmMax	1398.21819
krigeRFmmMin	41.80002
negRFgridZero	FALSE
negRFpixCount	0
gridPixCount	179685
stationCount	45
negRFloocv	FALSE
rsqRFmm	0.29819
rmseRFmm	197.40242
maeRFmm	152.89073
biasRFmm	142.1202
rsqRFanom	0.51713
rmseRFanom	2.15808
maeRFanom	1.47224
biasRFanom	1.45125
credits	All data produced by University of Hawaii at Manoa Dept. of Geography and the Enviroment, Ecohydology Lab in collaboration with the Water Resource Research Center (WRRC). Support for the Hawai?i EPSCoR Program is provided by the National Science Foundation?s Research Infrastructure Improvement (RII) Track-1: ?Ike Wai: Securing Hawaii?s Water Future Award # OIA-1557349.
contacts	Matthew Lucas (mplucas@hawaii.edu), Ryan Longman (rlongman@hawaii.edu),Thomas Giambelluca (thomas@hawaii.edu)
