"","coreid","dwc_basis_of_record","gbif_canonical_name","dwc_catalog_number","dwc_class","dwc_collection_code","dwc_collection_id","dwc_recorded_by","dwc_vernacular_name","idigbio_commonnames","dwc_continent","dwc_coordinate_uncertainty_in_meters","dwc_country","idigbio_iso_country_code","dwc_county","dwc_dataset_id","idigbio_event_date","idigbio_date_modified","idigbio_data_quality_score","idigbio_etag","dwc_event_date","dwc_family","dwc_field_number","idigbio_flags","dwc_genus","idigbio_geo_point","idigbio_has_image","idigbio_has_media","dwc_higher_classification","dwc_individual_count","dwc_infraspecific_epithet","dwc_institution_code","dwc_institution_id","dwc_kingdom","dwc_locality","dwc_maximum_depth_in_meters","dwc_maximum_elevation_in_meters","idigbio_mediarecords","dwc_minimum_depth_in_meters","dwc_minimum_elevation_in_meters","dwc_municipality","dwc_occurrence_id","dwc_order","dwc_phylum","idigbio_record_ids","dwc_record_number","idigbio_recordset","dwc_scientific_name","dwc_specific_epithet","dwc_start_day_of_year","dwc_state_province","dwc_taxon_id","dwc_taxonomic_status","dwc_taxon_rank","dwc_type_status","idigbio_uuid","dwc_verbatim_event_date","dwc_verbatim_locality","dwc_water_body","year"
"1","a0f316e7-71f9-49c7-9363-90572c3e32b8","preservedspecimen","himatione sanguinea","mvz:bird:118834","aves","bird","https://arctos.database.museum/collection/mvz:bird","baldwin, p h",NA,NA,"oceania","1463","united states","usa","hawaii county",NA,"1948-10-03 22:48:00","2025-05-23 18:05:55.714788","0.449275362318841","bc2706c769547f28818ba9b41d2f50389af6ef10","1948-10-03/1948-10-03","fringillidae",NA,"[""geopoint_datum_error"", ""dwc_continent_added"", ""idigbio_isocountrycode_added""]","himatione","{""lat"": 19.4246406555, ""lon"": -155.2819976806}","FALSE","FALSE","animalia, chordata, aves, passeriformes, fringillidae, carduelinae, himatione, himatione sanguinea",NA,NA,"mvz","mvz","animalia","n rim kilauea crater",NA,"1219",NA,NA,"1219",NA,"https://arctos.database.museum/guid/mvz:bird:118834","passeriformes","chordata","[""19daf0a7-5e37-41e6-97f8-4494553c358c\\https://arctos.database.museum/guid/mvz:bird:118834""]","paul h. baldwin 340","19daf0a7-5e37-41e6-97f8-4494553c358c","himatione sanguinea","sanguinea","277","hawaii","2494524","accepted","species",NA,"a0f316e7-71f9-49c7-9363-90572c3e32b8","3 oct 1948","n rim kilauea crater",NA,"1948"
"2","53a1e997-91e9-428a-bfe8-f23869073403","preservedspecimen","paroreomyza montana","mvz:bird:122615","aves","bird","https://arctos.database.museum/collection/mvz:bird","l. p. richards",NA,NA,"oceania","1048","united states","usa","maui county",NA,"1950-12-02 21:50:00","2025-05-23 18:05:55.714788","0.449275362318841","ad63ad15bbe6e3a4264778decbba86f168ec818e","1950-12-02/1950-12-02","fringillidae",NA,"[""geopoint_datum_error"", ""dwc_continent_added"", ""idigbio_isocountrycode_added""]","paroreomyza","{""lat"": 20.7430896759, ""lon"": -156.1491851806}","FALSE","FALSE","animalia, chordata, aves, passeriformes, fringillidae, carduelinae, paroreomyza, paroreomyza montana",NA,NA,"mvz","mvz","animalia","0.5 mi nw puu alaea, haleakala, maui, hawaiian islands, maui",NA,"2042",NA,NA,"2042",NA,"https://arctos.database.museum/guid/mvz:bird:122615","passeriformes","chordata","[""19daf0a7-5e37-41e6-97f8-4494553c358c\\https://arctos.database.museum/guid/mvz:bird:122615""]","l. p. richards 300","19daf0a7-5e37-41e6-97f8-4494553c358c","paroreomyza montana","montana","336","hawaii","2494582","accepted","species",NA,"53a1e997-91e9-428a-bfe8-f23869073403","2 dec 1950","1/2 mi nw puu alaea, haleakala",NA,"1950"
"3","7d9143c8-3850-451e-b5e6-934bb5641127","preservedspecimen","paroreomyza montana","mvz:bird:122616","aves","bird","https://arctos.database.museum/collection/mvz:bird","l. p. richards",NA,NA,"oceania","1048","united states","usa","maui county",NA,"1950-12-02 21:50:00","2025-05-23 18:05:55.714788","0.449275362318841","7ae18cab47569cb2e82aec35dff0b2049b90d473","1950-12-02/1950-12-02","fringillidae",NA,"[""geopoint_datum_error"", ""dwc_continent_added"", ""idigbio_isocountrycode_added""]","paroreomyza","{""lat"": 20.7430896759, ""lon"": -156.1491851806}","FALSE","FALSE","animalia, chordata, aves, passeriformes, fringillidae, carduelinae, paroreomyza, paroreomyza montana",NA,NA,"mvz","mvz","animalia","0.5 mi nw puu alaea, haleakala, maui, hawaiian islands, maui",NA,"2042",NA,NA,"2042",NA,"https://arctos.database.museum/guid/mvz:bird:122616","passeriformes","chordata","[""19daf0a7-5e37-41e6-97f8-4494553c358c\\https://arctos.database.museum/guid/mvz:bird:122616""]","l. p. richards 301","19daf0a7-5e37-41e6-97f8-4494553c358c","paroreomyza montana","montana","336","hawaii","2494582","accepted","species",NA,"7d9143c8-3850-451e-b5e6-934bb5641127","2 dec 1950","1/2 mi nw puu alaea, haleakala",NA,"1950"
"4","78c0568d-50ab-4ffa-a971-b9151c127e1c","preservedspecimen","haemorhous mexicanus","mvz:bird:12604","aves","bird","https://arctos.database.museum/collection/mvz:bird","annie m. alexander",NA,NA,"oceania","526","united states","usa","maui county",NA,"1910-02-12 06:10:00","2025-05-23 18:05:55.714788","0.420289855072464","071b06e59ce660d0e5c3b4c692b1b8b432ffca80","1910-02-11/1910-02-11","fringillidae",NA,"[""geopoint_datum_error"", ""dwc_continent_added"", ""idigbio_isocountrycode_added""]","haemorhous","{""lat"": 21.1578598022, ""lon"": -157.0134735107}","FALSE","FALSE","animalia, chordata, aves, passeriformes, fringillidae, carduelinae, haemorhous, haemorhous mexicanus, haemorhous mexicanus frontalis",NA,NA,"mvz","mvz","animalia","kauluwai, molokai, hawaiian islands, molokai",NA,NA,NA,NA,NA,NA,"https://arctos.database.museum/guid/mvz:bird:12604","passeriformes","chordata","[""19daf0a7-5e37-41e6-97f8-4494553c358c\\https://arctos.database.museum/guid/mvz:bird:12604""]","annie m. alexander 446","19daf0a7-5e37-41e6-97f8-4494553c358c","haemorhous mexicanus","mexicanus","42","hawaii","8323485","accepted","species",NA,"78c0568d-50ab-4ffa-a971-b9151c127e1c","11 feb 1910","kauluwai, molokai",NA,"1910"
"5","3f045f83-6961-4a3c-9be6-53712a5df710","preservedspecimen","himatione sanguinea","89792","aves","bird",NA,NA,NA,NA,"oceania","14690","united states","usa",NA,"7ddf754f-d193-4cc9-b351-99906754a03b","2008-05-12","2024-12-13 17:44:22.400222","0.289855072463768","7574d4de4fad1b4ecf42709dadea55cc10533fed",NA,"fringillidae","not recorded","[""dwc_taxonrank_added"", ""gbif_reference_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""gbif_vernacularname_added"", ""dwc_parentnameusageid_added"", ""idigbio_isocountrycode_added"", ""dwc_scientificnameauthorship_added"", ""dwc_taxonomicstatus_added"", ""dwc_country_replaced"", ""dwc_taxonid_added"", ""dwc_multimedia_added"", ""dwc_originalnameusageid_added"", ""gbif_canonicalname_added"", ""dwc_continent_replaced""]","himatione","{""lat"": 19.0614688, ""lon"": -155.7483673}","FALSE","FALSE","animalia; chordata; aves; passeriformes; fringillidae;","1",NA,"uwbm",NA,"animalia","hawaii: hawaiian islands; hawaii; ocean view","0","0",NA,"0","0",NA,"urn:catalog:uwbm:bird:89792","passeriformes","chordata","[""1ea148f3-17d9-4af8-b49f-bb17affe24d8\\urn:catalog:uwbm:bird:89792""]",NA,"1ea148f3-17d9-4af8-b49f-bb17affe24d8","himatione sanguinea","sanguinea","133","hawaii","2494524","accepted","species",NA,"3f045f83-6961-4a3c-9be6-53712a5df710","12 may 2008",NA,NA,"2008"
"6","5a308c4e-7e29-41d1-9e1b-692b4a4a9ca5","preservedspecimen","chlorodrepanis virens","mvz:bird:118788","aves","bird","https://arctos.database.museum/collection/mvz:bird","baldwin, p h",NA,NA,"oceania","481","united states","usa","hawaii county",NA,"1949-02-04 23:49:00","2025-05-23 18:05:55.714788","0.449275362318841","22ac928279ce4a1e22020123dbbe704d4c48af04","1949-02-04/1949-02-04","fringillidae",NA,"[""geopoint_datum_error"", ""dwc_continent_added"", ""idigbio_isocountrycode_added""]","chlorodrepanis","{""lat"": 19.109090805, ""lon"": -155.8258209228}","FALSE","FALSE","animalia, chordata, aves, passeriformes, fringillidae, carduelinae, chlorodrepanis, chlorodrepanis virens, chlorodrepanis virens virens",NA,NA,"mvz","mvz","animalia","kau, manuka",NA,"533",NA,NA,"533",NA,"https://arctos.database.museum/guid/mvz:bird:118788","passeriformes","chordata","[""19daf0a7-5e37-41e6-97f8-4494553c358c\\https://arctos.database.museum/guid/mvz:bird:118788""]","paul h. baldwin 570","19daf0a7-5e37-41e6-97f8-4494553c358c","chlorodrepanis virens","virens","35","hawaii","8346110","accepted","species",NA,"5a308c4e-7e29-41d1-9e1b-692b4a4a9ca5","4 feb 1949","hawaii, kau, manuka",NA,"1949"
"7","8abbdfaf-b309-4d8e-9087-297f0b0d8fa3","preservedspecimen","haemorhous mexicanus","mvz:bird:12602","aves","bird","https://arctos.database.museum/collection/mvz:bird","annie m. alexander",NA,NA,"oceania","526","united states","usa","maui county",NA,"1910-02-10 04:10:00","2025-05-23 18:05:55.714788","0.420289855072464","60df170e7a93dfcf60af8487098651bf1e194437","1910-02-09/1910-02-09","fringillidae",NA,"[""geopoint_datum_error"", ""dwc_continent_added"", ""idigbio_isocountrycode_added""]","haemorhous","{""lat"": 21.1578598022, ""lon"": -157.0134735107}","FALSE","FALSE","animalia, chordata, aves, passeriformes, fringillidae, carduelinae, haemorhous, haemorhous mexicanus, haemorhous mexicanus frontalis",NA,NA,"mvz","mvz","animalia","kauluwai, molokai, hawaiian islands, molokai",NA,NA,NA,NA,NA,NA,"https://arctos.database.museum/guid/mvz:bird:12602","passeriformes","chordata","[""19daf0a7-5e37-41e6-97f8-4494553c358c\\https://arctos.database.museum/guid/mvz:bird:12602""]","annie m. alexander 436","19daf0a7-5e37-41e6-97f8-4494553c358c","haemorhous mexicanus","mexicanus","40","hawaii","8323485","accepted","species",NA,"8abbdfaf-b309-4d8e-9087-297f0b0d8fa3","9 feb 1910","kauluwai, molokai",NA,"1910"
"8","5dce44ea-ded1-4b37-b923-129197cebe88","preservedspecimen","himatione sanguinea","mvz:bird:118882","aves","bird","https://arctos.database.museum/collection/mvz:bird","baldwin, p h",NA,NA,"oceania","1463","united states","usa","hawaii county",NA,"1948-12-18 12:48:00","2025-05-23 18:05:55.714788","0.449275362318841","558283b05396d09121e130707337abd2a5dd1bd0","1948-12-17/1948-12-17","fringillidae",NA,"[""geopoint_datum_error"", ""dwc_continent_added"", ""idigbio_isocountrycode_added""]","himatione","{""lat"": 19.4246406555, ""lon"": -155.2819976806}","FALSE","FALSE","animalia, chordata, aves, passeriformes, fringillidae, carduelinae, himatione, himatione sanguinea",NA,NA,"mvz","mvz","animalia","n rim kilauea crater, kau",NA,"1227",NA,NA,"1227",NA,"https://arctos.database.museum/guid/mvz:bird:118882","passeriformes","chordata","[""19daf0a7-5e37-41e6-97f8-4494553c358c\\https://arctos.database.museum/guid/mvz:bird:118882""]","paul h. baldwin 506","19daf0a7-5e37-41e6-97f8-4494553c358c","himatione sanguinea","sanguinea","352","hawaii","2494524","accepted","species",NA,"5dce44ea-ded1-4b37-b923-129197cebe88","17 dec 1948","n rim kilauea crater, kau",NA,"1948"
"9","e32d03db-8588-4416-af0b-45c628c02ef8","preservedspecimen","himatione sanguinea","mvz:bird:118895","aves","bird","https://arctos.database.museum/collection/mvz:bird","baldwin, p h",NA,NA,"oceania","1463","united states","usa","hawaii county",NA,"1949-02-12 06:49:00","2025-05-23 18:05:55.714788","0.449275362318841","e8975747d6c4f8d30d4751b0a3700212e3acfe51","1949-02-11/1949-02-11","fringillidae",NA,"[""geopoint_datum_error"", ""dwc_continent_added"", ""idigbio_isocountrycode_added""]","himatione","{""lat"": 19.4246406555, ""lon"": -155.2819976806}","FALSE","FALSE","animalia, chordata, aves, passeriformes, fringillidae, carduelinae, himatione, himatione sanguinea",NA,NA,"mvz","mvz","animalia","n rim kilauea crater",NA,"1227",NA,NA,"1227",NA,"https://arctos.database.museum/guid/mvz:bird:118895","passeriformes","chordata","[""19daf0a7-5e37-41e6-97f8-4494553c358c\\https://arctos.database.museum/guid/mvz:bird:118895""]","paul h. baldwin 577","19daf0a7-5e37-41e6-97f8-4494553c358c","himatione sanguinea","sanguinea","42","hawaii","2494524","accepted","species",NA,"e32d03db-8588-4416-af0b-45c628c02ef8","11 feb 1949","n rim kilauea crater",NA,"1949"
"10","7db5233d-d65d-4e02-8293-da9605b0d299","preservedspecimen","loxioides bailleui","mvz:bird:122620","aves","bird","https://arctos.database.museum/collection/mvz:bird","l. p. richards",NA,NA,"oceania","111","united states","usa","hawaii county",NA,"1950-12-16 10:50:00","2025-05-23 18:05:55.714788","0.449275362318841","1a7ea538bee50b5d3c734126107dd61da4d39b31","1950-12-15/1950-12-15","fringillidae",NA,"[""geopoint_datum_error"", ""dwc_continent_added"", ""idigbio_isocountrycode_added""]","loxioides","{""lat"": 19.8458003997, ""lon"": -155.3690032958}","FALSE","FALSE","animalia, chordata, aves, passeriformes, fringillidae, carduelinae, loxioides, loxioides bailleui",NA,NA,"mvz","mvz","animalia","between puu kanakaleonui and hopuwai, mauna kea",NA,"2438",NA,NA,"2438",NA,"https://arctos.database.museum/guid/mvz:bird:122620","passeriformes","chordata","[""19daf0a7-5e37-41e6-97f8-4494553c358c\\https://arctos.database.museum/guid/mvz:bird:122620""]","l. p. richards 310","19daf0a7-5e37-41e6-97f8-4494553c358c","loxioides bailleui","bailleui","349","hawaii","2494136","accepted","species",NA,"7db5233d-d65d-4e02-8293-da9605b0d299","15 dec 1950","between puu kanakaleonui and hopuwai, mauna kea",NA,"1950"
