dwc:scientificName,gbif:canonicalName,coreid,dwc:basisOfRecord,dwc:catalogNumber,dwc:collectionCode,dwc:recordedBy,dwc:vernacularName,idigbio:commonnames,dwc:coordinateUncertaintyInMeters,dwc:county,idigbio:eventDate,idigbio:dataQualityScore,dwc:eventDate,dwc:fieldNumber,idigbio:flags,dwc:genus,idigbio:geoPoint,dwc:institutionCode,dwc:locality,evelation,dwc:recordNumber,dwc:verbatimEventDate,dwc:verbatimLocality
himatione sanguinea,himatione sanguinea,a0f316e7-71f9-49c7-9363-90572c3e32b8,preservedspecimen,mvz:bird:118834,bird,collector(s): paul h. baldwin,,,1463.0,hawaii county,1948-10-03T19:48:00-03:00,0.4492753623188406,1948-10-03/1948-10-03,,"[""geopoint_datum_error"", ""dwc_continent_added"", ""idigbio_isocountrycode_added""]",himatione,"{""lat"": 19.4246406555, ""lon"": -155.2819976806}",mvz,n rim kilauea crater,1219.0,paul h. baldwin 340,3 oct 1948,n rim kilauea crater
paroreomyza montana,paroreomyza montana,53a1e997-91e9-428a-bfe8-f23869073403,preservedspecimen,mvz:bird:122615,bird,collector(s): l. p. richards,,,1048.0,maui county,1950-12-02T19:50:00-02:00,0.4492753623188406,1950-12-02/1950-12-02,,"[""geopoint_datum_error"", ""dwc_continent_added"", ""idigbio_isocountrycode_added""]",paroreomyza,"{""lat"": 20.7430896759, ""lon"": -156.1491851806}",mvz,"0.5 mi nw puu alaea, haleakala, maui, hawaiian islands, maui",2042.0,l. p. richards 300,2 dec 1950,"1/2 mi nw puu alaea, haleakala"
paroreomyza montana,paroreomyza montana,7d9143c8-3850-451e-b5e6-934bb5641127,preservedspecimen,mvz:bird:122616,bird,collector(s): l. p. richards,,,1048.0,maui county,1950-12-02T19:50:00-02:00,0.4492753623188406,1950-12-02/1950-12-02,,"[""geopoint_datum_error"", ""dwc_continent_added"", ""idigbio_isocountrycode_added""]",paroreomyza,"{""lat"": 20.7430896759, ""lon"": -156.1491851806}",mvz,"0.5 mi nw puu alaea, haleakala, maui, hawaiian islands, maui",2042.0,l. p. richards 301,2 dec 1950,"1/2 mi nw puu alaea, haleakala"
haemorhous mexicanus,haemorhous mexicanus,78c0568d-50ab-4ffa-a971-b9151c127e1c,preservedspecimen,mvz:bird:12604,bird,collector(s): annie m. alexander,,,526.0,maui county,1910-02-11T19:10:00-11:00,0.42028985507246375,1910-02-11/1910-02-11,,"[""geopoint_datum_error"", ""dwc_continent_added"", ""idigbio_isocountrycode_added""]",haemorhous,"{""lat"": 21.1578598022, ""lon"": -157.0134735107}",mvz,"kauluwai, molokai, hawaiian islands, molokai",,annie m. alexander 446,11 feb 1910,"kauluwai, molokai"
himatione sanguinea,himatione sanguinea,3f045f83-6961-4a3c-9be6-53712a5df710,preservedspecimen,89792,bird,,,,14690.0,,2008-05-12,0.2898550724637681,,not recorded,"[""dwc_taxonrank_added"", ""gbif_reference_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""gbif_vernacularname_added"", ""dwc_parentnameusageid_added"", ""idigbio_isocountrycode_added"", ""dwc_scientificnameauthorship_added"", ""dwc_taxonomicstatus_added"", ""dwc_country_replaced"", ""dwc_taxonid_added"", ""dwc_multimedia_added"", ""dwc_originalnameusageid_added"", ""gbif_canonicalname_added"", ""dwc_continent_replaced""]",himatione,"{""lat"": 19.0614688, ""lon"": -155.7483673}",uwbm,hawaii: hawaiian islands; hawaii; ocean view,0.0,,12 may 2008,
chlorodrepanis virens,chlorodrepanis virens,5a308c4e-7e29-41d1-9e1b-692b4a4a9ca5,preservedspecimen,mvz:bird:118788,bird,collector(s): paul h. baldwin,,,481.0,hawaii county,1949-02-04T19:49:00-04:00,0.4492753623188406,1949-02-04/1949-02-04,,"[""geopoint_datum_error"", ""dwc_continent_added"", ""idigbio_isocountrycode_added""]",chlorodrepanis,"{""lat"": 19.109090805, ""lon"": -155.8258209228}",mvz,"kau, manuka",533.0,paul h. baldwin 570,4 feb 1949,"hawaii, kau, manuka"
haemorhous mexicanus,haemorhous mexicanus,8abbdfaf-b309-4d8e-9087-297f0b0d8fa3,preservedspecimen,mvz:bird:12602,bird,collector(s): annie m. alexander,,,526.0,maui county,1910-02-09T19:10:00-09:00,0.42028985507246375,1910-02-09/1910-02-09,,"[""geopoint_datum_error"", ""dwc_continent_added"", ""idigbio_isocountrycode_added""]",haemorhous,"{""lat"": 21.1578598022, ""lon"": -157.0134735107}",mvz,"kauluwai, molokai, hawaiian islands, molokai",,annie m. alexander 436,9 feb 1910,"kauluwai, molokai"
himatione sanguinea,himatione sanguinea,5dce44ea-ded1-4b37-b923-129197cebe88,preservedspecimen,mvz:bird:118882,bird,collector(s): paul h. baldwin,,,1463.0,hawaii county,1948-12-17T19:48:00-17:00,0.4492753623188406,1948-12-17/1948-12-17,,"[""geopoint_datum_error"", ""dwc_continent_added"", ""idigbio_isocountrycode_added""]",himatione,"{""lat"": 19.4246406555, ""lon"": -155.2819976806}",mvz,"n rim kilauea crater, kau",1227.0,paul h. baldwin 506,17 dec 1948,"n rim kilauea crater, kau"
himatione sanguinea,himatione sanguinea,e32d03db-8588-4416-af0b-45c628c02ef8,preservedspecimen,mvz:bird:118895,bird,collector(s): paul h. baldwin,,,1463.0,hawaii county,1949-02-11T19:49:00-11:00,0.4492753623188406,1949-02-11/1949-02-11,,"[""geopoint_datum_error"", ""dwc_continent_added"", ""idigbio_isocountrycode_added""]",himatione,"{""lat"": 19.4246406555, ""lon"": -155.2819976806}",mvz,n rim kilauea crater,1227.0,paul h. baldwin 577,11 feb 1949,n rim kilauea crater
loxioides bailleui,loxioides bailleui,7db5233d-d65d-4e02-8293-da9605b0d299,preservedspecimen,mvz:bird:122620,bird,collector(s): l. p. richards,,,111.0,hawaii county,1950-12-15T19:50:00-15:00,0.4492753623188406,1950-12-15/1950-12-15,,"[""geopoint_datum_error"", ""dwc_continent_added"", ""idigbio_isocountrycode_added""]",loxioides,"{""lat"": 19.8458003997, ""lon"": -155.3690032958}",mvz,"between puu kanakaleonui and hopuwai, mauna kea",2438.0,l. p. richards 310,15 dec 1950,"between puu kanakaleonui and hopuwai, mauna kea"
