"Subject","Legend","Book","Pages","HSL_Call_Number","UHM_Call_Number","Online_Link"
"Birds","Aukele the Seeker","Colum, Padraic, At the Gateways of the Day","45-67","H 398.2 C","GR385 .C6",NA
"Birds","How Maui Strove to Win Immortality for Men","Colum, Padraic, At the Gateways of the Day","41-44","H 398.2 C","GR385 .C6",NA
"Birds","How Maui Won a Place for Himself in the House","Colum, Padraic, At the Gateways of the Day","7-10","H 398.2 C","GR385 .C6",NA
"Birds","How Maui Won Fire for Men","Colum, Padraic, At the Gateways of the Day","27-32","H 398.2 C","GR385 .C6",NA
"Birds","Pikoi: The Boy Who Was Good at Shooting Arrows","Colum, Padraic, At the Gateways of the Day","69-79","H 398.2 C","GR385 .C6",NA
"Birds","The Fish-Hook of Pearl","Colum, Padraic, At the Gateways of the Day","131-135","H 398.2 C","GR385 .C6",NA
"Birds","The Story of Kana, the Youth Who Could Stretch Himself Upwards","Colum, Padraic, At the Gateways of the Day","137-147","H 398.2 C","GR385 .C6",NA
"Birds","The Story of Aiakolea","Pukui, Mary Kawena, and Laura S. Green, Folktales of Hawaii = He Mau Kaao Hawaii","64-67","H 398.2 F","GR110 .H38 P85 1995",NA
"Birds","Story of Pikoiakaalala","Fornander, Abraham, Fornander Collection of Hawaiian Antiquities and Folk-Lore, Volume 4","450-463","H 398.2 Fo v.4","AM101 .B4473 v.4 1985","http://www.archive.org/details/FornanderCollection4"
"Birds","Brief Stories of Ghosts and Cunning","Fornander, Abraham, Fornander Collection of Hawaiian Antiquities and Folk-Lore, Volume 5","418-435","H 398.2 Fo v.5","AM101 .B4473 v.5 1985","http://www.archive.org/details/FornanderCollection5"
"Birds","Story of Piimaiwaa","Fornander, Abraham, Fornander Collection of Hawaiian Antiquities and Folk-Lore, Volume 5","376-383","H 398.2 Fo v.5","AM101 .B4473 v.5 1985","http://www.archive.org/details/FornanderCollection5"
"Birds","Holua-Manu (The Bird-Slide)","Armitage, George T., and Henry P. Judd, Ghost Dog and Other Hawaiian Legends","103","RH 398.2 AR5","GR385 .A7",NA
"Birds","How the Alae Bird was Born","Armitage, George T., and Henry P. Judd, Ghost Dog and Other Hawaiian Legends","65","RH 398.2 AR5","GR385 .A7",NA
"Birds","Maui Discovers the Secret of Fire","Armitage, George T., and Henry P. Judd, Ghost Dog and Other Hawaiian Legends","66-68","RH 398.2 AR5","GR385 .A7",NA
"Birds","Maui Fishes for an Island","Armitage, George T., and Henry P. Judd, Ghost Dog and Other Hawaiian Legends","50-52","RH 398.2 AR5","GR385 .A7",NA
"Birds","Maui, Search for Immortality","Armitage, George T., and Henry P. Judd, Ghost Dog and Other Hawaiian Legends","137-139","RH 398.2 AR5","GR385 .A7",NA
"Birds","Outwitting a Clever Brother","Armitage, George T., and Henry P. Judd, Ghost Dog and Other Hawaiian Legends","29","RH 398.2 AR5","GR385 .A7",NA
"Birds","Pikoi","Pukui, Mary Kawena, and Caroline Curtis, Hawaii Island Legends: Pikoi, Pele and Others","3-25","H 398.2 Ha","PZ8.1 .P937 Ha 1996","http://www.ulukau.org/elib/cgi-bin/library?c=hil&l=en"
"Birds","The Wonderful Banana Skin","Pukui, Mary Kawena, and Caroline Curtis, Hawaii Island Legends: Pikoi, Pele and Others","115-120","H 398.2 Ha","PZ8.1 .P937 Ha 1996","http://www.ulukau.org/elib/cgi-bin/library?c=hil&l=en"
"Birds","Lonopuha","Thrum, Thomas G., Hawaiian Folk Tales: A Collection of Native Legends","51-57","H 398.2 T","GR385 .T4","http://www.archive.org/details/hawaiianfolktale00thru"
"Birds","Maui Seeking Immortality","Westervelt, W. D., Hawaiian Historical Legends","19-23","H 398.2 W","GR110 .H38 W43 1998","http://www.archive.org/details/hawaiianhistoric00west"
"Birds","The Water of Life","Westervelt, W. D., Hawaiian Historical Legends","24-34","H 398.2 W","GR110 .H38 W43 1998","http://www.archive.org/details/hawaiianhistoric00west"
"Birds","Sweet Leilehua","Gowen, Herbert H., Hawaiian Idylls of Love and Death","67-77","RH 398.2 G74","GR385 .G685","http://www.archive.org/details/hawaiianidyllsof00gowerich"
"Birds","The Bird Man","Rice, William Hyde, Hawaiian Legends","56-58","H 398.2 R (OV)","GR385 .H3 R5 1977",NA
"Birds","The Small Wise Boy and the Little Fool","Rice, William Hyde, Hawaiian Legends","60","H 398.2 R (OV)","GR385 .H3 R5 1977",NA
